U.S. FOB Costs of Mexican Mayan Crude Oil Monthly
https://www.eia.gov/opendata/qb.php?category=330447&sdid=PET.IMX2810004.M
18:33:29 GMT-0600 (Mountain Daylight Time)
Source: U.S. Energy Information Administration
Month,Series ID: PET.IMX2810004.M Dollars per Barrel
Jan 1987,14.8
Dec 1986,11.61
Nov 1986,10.95
Oct 1986,10.92
Sep 1986,10.7
Aug 1986,9.64
Jul 1986,7.83
Jun 1986,9.08
May 1986,9.38
Apr 1986,9.39
Mar 1986,10.75
Feb 1986,13.89
Jan 1986,19.27
Dec 1985,22.04
Nov 1985,23.17
Oct 1985,23.51
Sep 1985,23.5
Aug 1985,23.5
Jul 1985,23.5
Jun 1985,24.04
May 1985,25.46
Apr 1985,25.5
Mar 1985,25.5
Feb 1985,25.52
Jan 1985,25.5
Dec 1984,25.5
Nov 1984,25.5
Oct 1984,25.5
Sep 1984,25.51
Aug 1984,25.55
Jul 1984,25.51
Jun 1984,25.51
May 1984,25.48
Apr 1984,25.02
Mar 1984,25.03
Feb 1984,25.09
Jan 1984,25.14
Dec 1983,25.02
Nov 1983,25.06
Oct 1983,24.94
Sep 1983,24.04
Aug 1983,24.1
Jul 1983,23.2
Jun 1983,23.2
May 1983,23.08
Apr 1983,23.07
Mar 1983,23.17
Feb 1983,24.17
Jan 1983,25.2
