Gulf Coast (PADD 3) Percent Utilization of Refinery Operable Capacity
https://www.eia.gov/dnav/pet/hist/LeafHandler.ashx?n=PET&s=MOPUEP32&f=M
19:50:22 GMT-0600 (Mountain Daylight Time)
Source: U.S. Energy Information Administration
Month,Gulf Coast (PADD 3) Percent Utilization of Refinery Operable Capacity Percent
Mar 1994,89.2
Feb 1994,88.5
Jan 1994,90.8
Dec 1993,92.2
Nov 1993,91.2
Oct 1993,89.9
Sep 1993,91.4
Aug 1993,92.6
Jul 1993,95.9
Jun 1993,95
May 1993,92.6
Apr 1993,93.2
Mar 1993,91.4
Feb 1993,90.4
Jan 1993,89.1
Dec 1992,87.4
Nov 1992,89.3
Oct 1992,87.3
Sep 1992,88.9
Aug 1992,84.7
Jul 1992,89.5
Jun 1992,91.1
May 1992,87.5
Apr 1992,85.4
Mar 1992,84.5
Feb 1992,77
Jan 1992,80.8
Dec 1991,86.1
Nov 1991,82.5
Oct 1991,82.8
Sep 1991,84.6
Aug 1991,86.7
Jul 1991,84.9
Jun 1991,85.6
May 1991,83.3
Apr 1991,81.6
Mar 1991,81.3
Feb 1991,83
Jan 1991,81.8
Dec 1990,82.4
Nov 1990,84.5
Oct 1990,82.8
Sep 1990,87.2
Aug 1990,89.3
Jul 1990,90.7
Jun 1990,88.7
May 1990,87.3
Apr 1990,83.7
Mar 1990,79.8
Feb 1990,85.3
Jan 1990,85
Dec 1989,79.5
Nov 1989,85.8
Oct 1989,85.6
Sep 1989,84.9
Aug 1989,84.8
Jul 1989,84.9
Jun 1989,86.7
May 1989,87.5
Apr 1989,84.6
Mar 1989,82.5
Feb 1989,79.8
Jan 1989,83.4
Dec 1988,81.5
Nov 1988,82.2
Oct 1988,82.5
Sep 1988,78.7
Aug 1988,83.2
Jul 1988,82.4
Jun 1988,82.3
May 1988,84.1
Apr 1988,82.7
Mar 1988,81.8
Feb 1988,78.5
Jan 1988,81.5
Dec 1987,83.2
Nov 1987,82.5
Oct 1987,84.4
Sep 1987,84.6
Aug 1987,85
Jul 1987,85.3
Jun 1987,84.8
May 1987,80.7
Apr 1987,76.8
Mar 1987,79.7
Feb 1987,78.9
Jan 1987,84.3
Dec 1986,85.2
Nov 1986,84.1
Oct 1986,81.9
Sep 1986,85.8
Aug 1986,85.7
Jul 1986,82.7
Jun 1986,86.4
May 1986,88.2
Apr 1986,84.1
Mar 1986,74.5
Feb 1986,80.6
Jan 1986,82.3
Dec 1985,84
Nov 1985,81.4
Oct 1985,78.4
Sep 1985,74.9
Aug 1985,74.3
Jul 1985,79.3
Jun 1985,77
May 1985,78.7
Apr 1985,76.8
Mar 1985,73.5
Feb 1985,74.6
Jan 1985,72.9
